study_county,total_tracts,scored_tracts,mean_ctadi,median_ctadi,ctadi_top20,ctadi_top10,ctadi_top5,high_priority_deserts,critical_deserts,pct_ctadi_top20,pct_ctadi_top10
"Essex County, NJ",210,208,65.74027330281768,71.39958845169755,136,106,77,45,6,65.38461538461539,50.96153846153846
"Passaic County, NJ",119,119,64.41347174549992,64.91115256414199,70,51,37,16,2,58.82352941176471,42.857142857142854
"Union County, NJ",120,119,51.91201922105115,50.40892197965619,45,23,8,1,0,37.81512605042017,19.327731092436977
"Richmond County, NY",120,118,46.84230048481417,46.891689088007126,18,9,3,0,0,15.254237288135593,7.627118644067797
"Kings County, NY",776,768,46.76168578873385,49.11756323004771,207,59,8,0,0,26.953125,7.682291666666667
"Hudson County, NJ",182,179,42.3584878267056,43.03332884055319,29,11,4,0,0,16.201117318435752,6.145251396648044
"Bronx County, NY",347,339,38.81798690791801,39.68878432168153,17,5,0,0,0,5.014749262536873,1.4749262536873156
"Queens County, NY",684,674,37.53206506978475,37.728281451732315,60,25,9,1,0,8.902077151335313,3.7091988130563793
"Bergen County, NJ",203,203,36.282477964349034,34.14540801746509,23,14,6,0,0,11.330049261083744,6.896551724137931
"New York County, NY",304,298,22.308599925544836,21.72972913724856,0,0,0,0,0,0.0,0.0
