study_county,total_tracts,median_nearest_miles,median_trials_10mi,mean_access_disadvantage,poor_access_top20,poor_access_top10,no_trial_10mi,high_need_poor_access_top20,high_need_poor_access_top10,pct_poor_access_top20,pct_poor_access_top10
"Passaic County, NJ",119,12.654523949278072,0.0,94.783952732806,119,109,100,16,2,100.0,91.59663865546219
"Essex County, NJ",210,10.169172975768696,0.0,90.25258292550298,207,121,110,45,6,98.57142857142858,57.61904761904761
"Union County, NJ",120,6.824319915556352,9.0,81.7379010331702,104,27,14,1,0,86.66666666666667,22.5
"Bergen County, NJ",203,6.748473606004941,21.0,69.4457525373878,99,50,29,0,0,48.76847290640394,24.63054187192118
"Richmond County, NY",120,2.399186436104208,13.0,55.26631321370311,0,0,0,0,0,0.0,0.0
"Queens County, NY",684,4.572626385486455,41.0,49.63413325319825,70,0,0,1,0,10.23391812865497,0.0
"Hudson County, NJ",182,2.9657130897248773,41.0,45.07354391122744,14,0,0,0,0,7.6923076923076925,0.0
"Kings County, NY",776,2.741477485245608,32.0,43.655105867711605,0,0,0,0,0,0.0,0.0
"Bronx County, NY",347,1.5632088842562641,41.0,31.26305174626606,0,0,0,0,0,0.0,0.0
"New York County, NY",304,0.5622222992011261,41.0,18.591777925646088,0,0,0,0,0,0.0,0.0
