locationid,study_county,latitude,longitude,ctadi_score,refined_need_percentile,trial_access_disadvantage_percentile,weighted_avg_miles_reduced,weighted_distance_reduction,target_tracts_improved,target_tracts_within_5mi_after,target_tracts_within_10mi_after,modeled_depression_burden_within_5mi_after,modeled_depression_burden_within_10mi_after,critical_deserts_within_5mi_after,critical_deserts_within_10mi_after,optimization_rank
34013000900,"Essex County, NJ",40.7541922,-74.1877721,87.20182249927504,82.94214876033058,91.68026101141925,5.683309335408911,173685.50245157088,61,45,52,25250.504999999997,29372.277000000002,6,7,1
34013000700,"Essex County, NJ",40.7593348,-74.1919364,93.80547527498416,95.50413223140495,92.13703099510604,5.678530466536944,173539.45721767758,61,45,52,25250.504999999997,29372.277000000002,6,7,2
34013000800,"Essex County, NJ",40.7611259,-74.1853896,87.9145905613827,84.36363636363636,91.61500815660685,5.677295353113042,173501.71137578253,61,45,53,25250.504999999997,29651.167,6,7,3
34013009000,"Essex County, NJ",40.7551713,-74.1807919,72.23423266689578,57.81818181818181,90.2446982055465,5.66751141630127,173202.70812242807,61,45,52,25250.504999999997,29372.277000000002,6,7,4
34013009100,"Essex County, NJ",40.761005,-74.17987,80.76252081282679,72.19834710743802,90.34257748776508,5.654259316383155,172797.71562651097,61,45,53,25250.504999999997,29651.167,6,7,5
34013001600,"Essex County, NJ",40.750948,-74.1928048,74.4075363723202,60.13223140495868,92.07177814029363,5.648846626333054,172632.30041936936,60,45,51,25250.504999999997,28903.781,6,7,6
34013001000,"Essex County, NJ",40.7477293,-74.1824031,76.70329748354501,64.26446280991736,91.54975530179445,5.643897039945904,172481.03795100018,60,45,50,25250.504999999997,28353.621,6,6,7
34013010800,"Essex County, NJ",40.7598132,-74.1973712,75.11250959135108,60.7603305785124,92.85481239804241,5.6381877761421535,172306.5592636965,61,45,52,25250.504999999997,29372.277000000002,6,7,8
34013008900,"Essex County, NJ",40.7551992,-74.1755375,81.77747104553832,76.19834710743801,87.76508972267537,5.629206159321286,172032.0754131271,61,45,52,25250.504999999997,29372.277000000002,6,7,9
34013001500,"Essex County, NJ",40.7462516,-74.1918795,78.79668134736413,67.60330578512396,91.84339314845025,5.625474208138196,171918.02464127817,60,45,50,25250.504999999997,28353.621,6,6,10
34013001700,"Essex County, NJ",40.7506022,-74.1976609,85.4156373129019,78.7107438016529,92.69168026101143,5.613871195225015,171563.42927987102,60,45,50,25250.504999999997,28353.621,6,6,11
34013001100,"Essex County, NJ",40.7432323,-74.1824756,78.95626416314683,70.61157024793388,88.28711256117455,5.611826015295159,171500.92729682606,60,45,50,25250.504999999997,28353.621,6,6,12
34013000500,"Essex County, NJ",40.7679859,-74.1836562,76.49960706052487,63.90082644628099,91.58238172920066,5.607635069538009,171372.84936254178,61,45,55,25250.504999999997,30579.142,6,8,13
34013000600,"Essex County, NJ",40.7685977,-74.1872466,81.34573169791128,72.09917355371901,91.77814029363785,5.603499839051846,171246.47412192845,61,45,55,25250.504999999997,30579.142,6,8,14
34013008800,"Essex County, NJ",40.7528574,-74.1730126,51.92410943772005,30.776859504132233,87.60195758564437,5.5990087100599295,171109.22239947232,61,45,52,25250.504999999997,29372.277000000002,6,7,15
34013008200,"Essex County, NJ",40.740562,-74.1885922,84.6421734164545,81.05785123966942,88.38499184339315,5.584700092564543,170671.94206289275,58,46,50,25891.944999999996,28353.621,6,6,16
34013010300,"Essex County, NJ",40.7662302,-74.198587,63.936387298669096,43.900826446280995,93.11582381729201,5.584671080854843,170671.05544682473,61,45,54,25250.504999999997,30097.716999999997,6,7,17
34013001300,"Essex County, NJ",40.7422664,-74.194362,81.98898578585539,75.14049586776859,89.46166394779772,5.574769235161975,170368.4488240163,59,46,50,25891.944999999996,28353.621,6,6,18
34013010700,"Essex County, NJ",40.761853,-74.2030768,80.97614059552207,70.14876033057851,93.4747145187602,5.574443345244432,170358.48942347482,61,45,53,25250.504999999997,29651.167,6,7,19
34013009400,"Essex County, NJ",40.7665025,-74.1729955,90.62835490325033,93.6198347107438,87.73246329526917,5.563593697465566,170026.9173736914,61,45,55,25250.504999999997,30579.142,6,8,20
34013008700,"Essex County, NJ",40.7556026,-74.1695751,80.1364562303904,73.55371900826447,87.30831973898859,5.5603051139015385,169926.41619471923,61,45,52,25250.504999999997,29372.277000000002,6,7,21
34013022900,"Essex County, NJ",40.7451733,-74.1717157,88.47526589980471,92.06611570247934,85.02446982055464,5.557549069753068,169842.1897547253,60,45,50,25250.504999999997,28353.621,6,6,22
34013006400,"Essex County, NJ",40.7375916,-74.1840038,49.20666783048495,27.53719008264463,87.92822185970635,5.55259058352221,169690.65530154321,57,46,50,25891.944999999996,28353.621,6,6,23
34013001400,"Essex County, NJ",40.743114,-74.1985579,59.4177365839492,39.30578512396694,89.8205546492659,5.549227246046415,169587.86959608144,59,46,50,25891.944999999996,28353.621,6,6,24
34013010900,"Essex County, NJ",40.7540742,-74.2053959,80.89385103261779,69.88429752066115,93.6378466557912,5.54377451951948,169421.23084906457,60,45,51,25250.504999999997,28903.781,6,7,25
34013009200,"Essex County, NJ",40.7594232,-74.1674201,79.70212701680167,74.11570247933884,85.70962479608482,5.526278269629934,168886.53446466208,61,45,53,25250.504999999997,29651.167,6,7,26
34013010200,"Essex County, NJ",40.7722747,-74.1975582,73.59665011699768,58.14876033057851,93.14845024469821,5.510663399963746,168409.3342414065,61,44,55,24685.101,30579.142,6,8,27
34013001800,"Essex County, NJ",40.7449098,-74.20381,68.56685978848743,51.00826446280992,92.16965742251223,5.508367560954809,168339.17195948903,59,45,50,25250.504999999997,28353.621,6,6,28
34013000400,"Essex County, NJ",40.7743272,-74.1828886,63.740039695642125,44.3305785123967,91.64763458401305,5.5058961792975465,168263.6449839966,61,44,58,24685.101,32168.51,6,8,29
34013022800,"Essex County, NJ",40.733385,-74.1842883,82.03509401465895,76.79338842975206,87.63458401305057,5.497495001539677,168006.8997157126,54,46,50,25891.944999999996,28353.621,6,6,30
34013008100,"Essex County, NJ",40.7341337,-74.1767784,87.95251585964448,90.08264462809917,85.87275693311582,5.4865480771478445,167672.35483154646,55,46,50,25891.944999999996,28353.621,6,6,31
34013010600,"Essex County, NJ",40.7644839,-74.2096265,92.606511204759,91.17355371900825,94.06199021207178,5.4771576233624595,167385.37666658874,61,45,53,25250.504999999997,29651.167,6,7,32
34013009300,"Essex County, NJ",40.7658745,-74.1658556,87.31863936437463,88.99173553719008,85.67699836867862,5.473692398931814,167279.4772318009,61,45,55,25250.504999999997,30579.142,6,8,33
34013000200,"Essex County, NJ",40.7738296,-74.1751406,75.94424498205284,65.52066115702479,88.02610114192497,5.473022237697963,167258.99668362807,61,44,57,24685.101,31737.464,6,8,34
34013015900,"Essex County, NJ",40.7763477,-74.1913835,86.33819180737238,80.56198347107438,92.52854812398043,5.469573564786506,167153.60307366113,61,44,58,24685.101,32168.51,6,8,35
34013011100,"Essex County, NJ",40.7568504,-74.2116695,93.32610156795452,92.62809917355372,94.02936378466558,5.4615062554470635,166907.06103391616,60,45,52,25250.504999999997,29372.277000000002,6,7,36
34013003100,"Essex County, NJ",40.7317801,-74.1923583,80.1398882115077,72.39669421487604,88.71125611745514,5.452815849050552,166641.4767567975,53,46,50,25891.944999999996,28353.621,6,6,37
34013002800,"Essex County, NJ",40.7359373,-74.2008767,60.37591380122645,40.925619834710744,89.07014681892332,5.442127958690608,166314.8481153212,54,46,50,25891.944999999996,28353.621,6,6,38
34013006200,"Essex County, NJ",40.7296971,-74.1862308,86.07588050147335,84.89256198347107,87.27569331158239,5.4393971932342,166231.39420803188,52,46,50,25891.944999999996,28353.621,6,6,39
34017013400,"Hudson County, NJ",40.7520111,-74.1621893,80.2323617801975,75.30578512396694,85.48123980424144,5.4295957780704525,165931.8568052645,60,45,52,25250.504999999997,29372.277000000002,6,7,40
34013000300,"Essex County, NJ",40.7772697,-74.1782731,86.5929330384546,82.9090909090909,90.44045676998368,5.4287877294535045,165907.16233206991,61,43,58,24220.799,32168.51,6,8,41
34017013700,"Hudson County, NJ",40.7475329,-74.162839,66.15596296198844,52.29752066115702,83.68678629690048,5.4251879422337534,165797.15057394057,60,45,50,25250.504999999997,28353.621,6,6,42
34013008000,"Essex County, NJ",40.7331957,-74.1685287,66.01893049981433,52.0,83.81729200652529,5.390292618827907,164730.7275761295,55,46,50,25891.944999999996,28353.621,6,6,43
34013006600,"Essex County, NJ",40.7270642,-74.1871371,62.95005862550079,45.421487603305785,87.24306688417617,5.3881490747949465,164665.21952432027,49,46,50,25891.944999999996,28353.621,6,6,44
